,Real medicine I cannot afford.,
,,
,"Take the money, please.",
,,
,(sighs),
,,1
Female Officer,Remove all clothing.,
,,
,The shower is there.,
,You have two minutes.,
,,
,You're shy.,
,,
,There are no doors.,
,,
,You gave up your right to privacy,
,the minute you arrived here.,
,,1
Interviewer,We are on the location of,
,Even Angels Must Earn Their Wings,
,,
,"with its star, Lito Rodriquez.",
,,
,"So, Lito, can we get a little",
,up close and personal here?,
,,1
Prison Doctor,Sexual history.,
,,
,Any STDs?,
Sun,No.,
,,
Prison Doctor,Cold sores? Crabs? Lice?,
Sun,No.,
,,
Prison Doctor,Have you ever been checked for HIV?,
,,
Lito,Excuse me?,
,,
Prison Doctor,What about family?,
,,
Lito,What about them?,
,,
,Family is very important to me.,
Prison Doctor,Answer the question.,
,,
,When was your last intercourse?,
,,
Sun,Some time ago.,
,,
Interviewer,"Well, Lito, we don't have a lot of time,",
,so I'll have to be direct.,
,,
Prison Doctor,"Stand up,",
,and remove your underwear.,
,,
,And squat over... this mirror.,
,,
Lito,"Hey, whoa, no, no, no. Hey.",
,,
,I'm not doing that.,
,,
Interviewer,You're not doing what?,
,,
Lito,"Oh, my God, Christina.",
,,
,"There is a line,",
,"there's a line in the script,",
,,
,and I think that was--,
,,
,(laughs),
,That was just an actor's reflex.,
,,
Interviewer,Oh! (laughs),
Lito,"I'm sorry, I-- Can we do that again?",
,,
,Would you mind? Are you still rolling?,
Interviewer,"Yes, please!",
,,
Lito,"Keep rolling, guys. Keep rolling. OK.",
,,
Interviewer,Um... Let's just cut to the chase.,
,,
,You've been involved,
,in some of the steamiest scenes,
,,
,we've ever seen on television.,
,,
,What is the secret to be a great lover?,
,,
Lito,I've never thought about it.,
,,
,"But, I guess...",
,,
,"First, you have to be selfless.",
,,
,The pleasure of your lover,
,must become your own.,
,,
,"But at the same time,",
,"you must also remain... selfish,",
,,
,because wanting someone so much,
,that it feels the same as the need...,
,,
,to eat...,
,,
,or to breathe...,
,,
,this is where desire,
,"becomes love, I guess.",
,,
,(exhales),
,,
,"Did you get that? OK. Yeah, yeah.",
,,1
Amondi,"'Morning, Van Damme.",
Capheus,"'Morning, Amondi.",
,,
Amondi,You can call me Diana Prince.,
,,
Capheus,Ah! Wonder Woman.,
,,
Amondi,Shh! They call it a secret identity,
,for a reason.,
,,
Capheus,"OK, OK, got it.",
,,
,(clears throat),
,,1
,(Neets moans),
,,
Neets,'Morning.,
Nomi,Good morning.,
,,
Neets,(Neets) Mm...,
,,
,My baby's back to feeling herself again.,
,,
Nomi,Mm... I don't know if it's the fact,
,"that I still have my brain,",
,,
,or that you saved my life...,
,Mm...,
,,
,(â™ª Fatboy Slim Featuring Macy Gray:,
,"""Demons"")",
,,
,...or...,
,,
,the fact that...,
,"I'm laying here in your bedroom,",
,,
,thinking about you sneaking out,
,as a teenager.,
,,
Neets,Mm-mm. Out of that very window.,
,,
,(laughing),
,,
Nomi,To go make out with--,
,What was her name?,
,,
Neets,Zuzu.,
Nomi,Zuzu.,
,,
,(laughing),
,,
,Zuzu. Mm.,
,Mm.,
,,1
Diego,(Diego) That's what I'm talking about.,
,,
,"You get into your own head too much,",
,Gorski.,
,,
,(grunts),
,,
,That's what happened at Slugger's.,
,,
,"Hello, ladies. Lookin' good! Strong.",
,,1
Hernando,"Come on, push it.",
,"Five more, five more.",
,,
,(grunts),
Lito,Seven.,
,,
Hernando,Look at that.,
,You feel how it burns? Yeah?,
,,
,(groans),
,,1
Diego,"It's mind and body, yo.",
,,
,Gotta tend to the temple.,
,Keep it flowing.,
,,
,(grunts),
,,
,Push it out. Push that out!,
,,
Will,(exhales),
,,
,(laughs),
,Aah!,
,,
Diego,"I gotta be honest with you, Will.",
,,
,When I first got assigned to you...,
,"that fucking name, ""Gorski""...",
,,
,I was picturing,
,"some typical Chicago boover,",
,,
,with a big-ass mustache,
,and gut dripping over his Bat belt.,
,,
,"But I gotta say,",
,"you keep that shit looking tight, man.",
,,
,Ooh!,
Will,"Tango and Cash, baby.",
,,
,(song continues),
,,
,(inaudible chatter),
,,
Nomi,I am gonna make love to you.,
,,
Lito,Like the first time we kissed.,
,,
,(song continues),
,,
,(moans),
,,
,(gasps),
,,
,(groaning),
,,
,(gasps),
,,
,Aah!,
,,
,I just had one of the best,
,orgasms of my life.,
,,
,(laughs),
,,
Hernando,It's my turn.,
,,
,(Jean-Claude grunting),
,,1
